Latitude,Longitude,Time Stamp(s),Yaw(degrees),Pitch(degrees),Roll(degrees)
34.10655717,-117.7122757,1369000,99.20166378,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,99.04779608,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,99.84242753,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,100.8324177,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,97.33902306,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,98.75457588,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,100.4903106,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,98.31884187,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,101.9598329,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,98.21034661,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,97.9664881,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,98.27297916,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,98.09135816,-0.6875,-2.3125
34.10655717,-117.7122757,1369000,99.62489365,-0.6875,-2.3125
34.10655733,-117.712273,1370000,98.02464204,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.93969737,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.02764917,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.093656,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.82742626,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.36964253,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.86944342,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.43843405,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.51248213,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.08611079,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.61287923,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.63810388,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.22553228,-0.6875,-2.3125
34.10655733,-117.712273,1370000,95.571647,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.7192099,-0.6875,-2.3125
34.10655733,-117.712273,1370000,96.67567471,-0.6875,-2.3125
34.10655733,-117.712273,1370000,96.80172396,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.78644113,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.98623841,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.24171326,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.7910517,-0.6875,-2.3125
34.10655733,-117.712273,1370000,96.20805697,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.74138389,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.92305612,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.87637924,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.1476389,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.2751984,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.6541441,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.27463722,-0.6875,-2.3125
34.10655733,-117.712273,1370000,100.1264581,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.66247842,-0.6875,-2.3125
34.10655733,-117.712273,1370000,98.12484457,-0.6875,-2.3125
34.10655733,-117.712273,1370000,98.04691626,-0.6875,-2.3125
34.10655733,-117.712273,1370000,99.32048605,-0.6875,-2.3125
34.10655733,-117.712273,1370000,98.07164892,-0.6875,-2.3125
34.10655733,-117.712273,1370000,98.53743382,-0.6875,-2.3125
34.10655733,-117.712273,1370000,98.1327703,-0.6875,-2.3125
34.10655733,-117.712273,1370000,97.88153681,-0.6875,-2.3125
34.10655917,-117.712272,1371000,101.3838674,-0.6875,-2.3125
34.10655917,-117.712272,1371000,100.5478038,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.87523018,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.69648531,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.09772789,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.94562105,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.56674249,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.6938816,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.97976943,-0.6875,-2.3125
34.10655917,-117.712272,1371000,100.5890875,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.57909324,-0.6875,-2.3125
34.10655917,-117.712272,1371000,96.02970515,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.42419829,-0.6875,-2.3125
34.10655917,-117.712272,1371000,100.8030631,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.67992349,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.18803438,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.27705478,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.5692121,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.87109743,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.55504691,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.73143798,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.7886214,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.692345,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.61641426,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.55803796,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.23114185,-0.6875,-2.3125
34.10655917,-117.712272,1371000,96.60619602,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.48505509,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.38447907,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.29677604,-0.6875,-2.3125
34.10655917,-117.712272,1371000,100.3706341,-0.6875,-2.3125
34.10655917,-117.712272,1371000,101.323738,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.84258913,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.55668729,-0.6875,-2.3125
34.10655917,-117.712272,1371000,96.44100932,-0.6875,-2.3125
34.10655917,-117.712272,1371000,99.92682332,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.82106558,-0.6875,-2.3125
34.10655917,-117.712272,1371000,98.51935855,-0.6875,-2.3125
34.10655917,-117.712272,1371000,97.02265414,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,96.92763244,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,100.979442,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,99.46004678,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.86539775,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,97.84112102,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.53464027,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,97.39577267,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,99.13736741,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,97.28588933,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.74813164,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.1555933,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.67401667,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.49842638,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.43174327,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.36776393,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,100.6481477,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,100.8415251,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,96.62692303,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,97.54770281,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,96.40692694,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.15055022,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,101.3310247,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,100.7140732,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,99.9916415,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.55131355,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,99.886115,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,97.78693765,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,97.93209423,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.12535666,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.32888945,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,96.56983146,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.16048403,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,96.95306488,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,99.04662271,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.26714822,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,100.6405786,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.55632364,-0.6875,-2.3125
34.10655933,-117.7122713,1372000,98.77107484,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.06103294,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.58092603,-0.6875,-2.3125
34.106559,-117.7122705,1373000,97.61451243,-0.6875,-2.3125
34.106559,-117.7122705,1373000,97.13003476,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.96070199,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.69113479,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.41707086,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.9279465,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.25921733,-0.6875,-2.3125
34.106559,-117.7122705,1373000,100.0439377,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.26939032,-0.6875,-2.3125
34.106559,-117.7122705,1373000,101.3821875,-0.6875,-2.3125
34.106559,-117.7122705,1373000,100.1230513,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.05856723,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.92791713,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.9147761,-0.6875,-2.3125
34.106559,-117.7122705,1373000,100.6630343,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.36019525,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.28242286,-0.6875,-2.3125
34.106559,-117.7122705,1373000,100.7455512,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.03473143,-0.6875,-2.3125
34.106559,-117.7122705,1373000,97.85452375,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.96500555,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.82771233,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.19031927,-0.6875,-2.3125
34.106559,-117.7122705,1373000,99.4413026,-0.6875,-2.3125
34.106559,-117.7122705,1373000,100.6989042,-0.6875,-2.3125
34.106559,-117.7122705,1373000,96.48076276,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.94542365,-0.6875,-2.3125
34.106559,-117.7122705,1373000,97.93673495,-0.6875,-2.3125
34.106559,-117.7122705,1373000,96.67075523,-0.6875,-2.3125
34.106559,-117.7122705,1373000,97.46327775,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.74076372,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.79277367,-0.6875,-2.3125
34.106559,-117.7122705,1373000,101.899541,-0.6875,-2.3125
34.106559,-117.7122705,1373000,102.3857088,-0.6875,-2.3125
34.106559,-117.7122705,1373000,98.99080567,-0.6875,-2.3125
34.106559,-117.7122705,1373000,101.1471501,-0.6875,-2.3125
34.106559,-117.7122705,1373000,96.555105,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,101.1706726,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.73317953,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.8017259,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.45626086,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.90802496,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,96.86193595,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,101.4987937,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.5854956,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.54982777,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.0626317,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,96.96350886,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.19044779,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.3938764,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.62298027,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.7840628,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.93877913,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.2644692,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.66379244,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.69478532,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.17560362,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.90709843,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,97.31687091,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.5902234,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.96927378,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.87999797,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.74418861,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.34868409,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.0709542,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.2615412,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,102.3070856,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.95115916,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.81933899,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,98.15278146,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.04484781,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,96.70009217,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,101.4084123,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.6437044,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,99.20632385,-0.6875,-2.3125
34.1065575,-117.7122693,1374000,100.4861617,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,97.31916979,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,96.82647146,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.26284507,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.59930137,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.21866346,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.9739605,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,101.4272439,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.3621759,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.1880951,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,97.86964719,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.3646077,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,96.50730805,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.83451559,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,98.10864592,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,100.3229069,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.61899982,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,96.6839432,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,95.19270178,-0.6875,-2.3125
34.10655933,-117.7122673,1375000,99.44819297,-0.6875,-2.3125
