Latitude,Longitude,Time Stamp(s),Yaw(degrees),Pitch(degrees),Roll(degrees)
34.1066485,-117.71239916666667,2083000,359.4076864848982,0.0000,0.0000,
34.1066485,-117.71239916666667,2083000,358.6922284096104,0.0000,0.0000,
34.1066485,-117.71239916666667,2083000,0.5548853021492732,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,358.7260905434541,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,358.67653885759455,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,358.8577250658491,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,357.7072653929488,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,358.6805976699927,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,1.2915132532357347,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,2.2409328313708556,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,359.35831980884245,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,0.6312378424963754,-1.4375,0.3125,
34.1066485,-117.71239916666667,2083000,359.9156568102128,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,1.1786593085671484,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,358.47685707122287,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.486135687348,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.1293718675274,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.9271143873036,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.325842885366,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.903912410442,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,0.43722196950602665,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.45480330127634,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,359.9640343935773,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,358.0605289164009,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,1.4428192152948895,-1.4375,0.3125,
34.1066485,-117.71239916666667,2084000,0.9002914642055657,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,359.26913753932,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,1.184510133208505,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,358.7364481854222,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,358.87696059013433,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.10727490815293095,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,1.4526547116180382,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.446403523074423,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.24445127120350207,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,359.20998039711526,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,1.2367779693389593,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.8198393608391825,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,357.1493539435892,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,359.61064507789513,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,358.98882422893905,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.9291799156304705,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,1.154462440063753,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,1.4588821113434278,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,359.2876610105359,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,2.16893276344922,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,357.50539185710727,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,358.97894884239304,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,1.1712744151034258,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.506071701763176,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,359.3698150733179,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.7547826318836997,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,359.29374230882377,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,0.6910682250818354,-1.4375,0.3125,
34.106648666666665,-117.71239983333334,2085000,2.8886342983953455,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,358.29403212578654,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,0.9624492329174927,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,359.9480810774379,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,358.46013911448813,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,2.9586528089040485,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,2.6802591294183458,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,359.9232460784799,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,359.86964523317795,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,359.8086760068269,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,1.0029754319323274,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,359.7824603978381,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,359.1635924418672,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,0.7607913550008334,-1.4375,0.3125,
34.10664883333333,-117.7124005,2086000,358.98439932865085,-1.4375,0.3125,
